type_structure,nom,code_postal,ville,adresse,email,site_web,siret,telephone
Centre social,MAISON DE QUARTIER DES COTEAUX/COLPORTEUR,95100,Argenteuil,MAISON DE QUARTIER DES COTEAUX/COLPORTEUR 78 avenue du Maréchal Joffre 95100 Argenteuil,coteaux@ville-argenteuil.fr,,21950018800012,
Centre social,Centre social et culturel LA TRAVERSE géré et animé par l'association UNIS VERS CITÉS,92000,Nanterre,"Centre social et culturel LA TRAVERSE géré et animé par l'association UNIS VERS CITÉS 68, boulevard des Provinces Françaises 92000 Nanterre",direction.traverse@gmail.com,,482 343 811 00048,
Centre social,FOYER DE GRENELLE,75015,Paris 15e Arrondissement,"FOYER DE GRENELLE 17, rue de l'Avre 75015 Paris 15e Arrondissement",direction@foyerdegrenelle.org,http://foyerdegrenelle.org,38233811900011,0145795150
Centre social,CENTRE SOCIAL ESPACE TORCY- ASSOCIATION Ecole Normale Sociale,75018,Paris 18e Arrondissement,"CENTRE SOCIAL ESPACE TORCY- ASSOCIATION Ecole Normale Sociale 2, rue de torcy 75018 Paris 75018 Paris 18e Arrondissement",scheherazade.daraziz@ensparis.fr,http://www.ensparis.fr,309 032 779 00022,0140386700
Centre social,CENTRE SOCIAL JOSEPH KOSMA,78280,Guyancourt,CENTRE SOCIAL JOSEPH KOSMA Place Jacques Brel 78280 Guyancourt,espace.kosma@ville-guyancourt.fr,http://www.ville-guyancourt.fr,217 802 974 00014,0130483333
Centre social,CENTRE SOCIAL BALZAC,94400,Vitry-sur-Seine,CENTRE SOCIAL BALZAC 7 rue Olympe de Gouges 94400 Vitry-sur-Seine,csbalzac-vitry@wanadoo.fr,http://balzac-vitry.centres-sociaux.fr,33101581800056,
Centre social,CENTRE SOCIAL DANUBE SOCIAL ET CULTUREL,75019,Paris 19e Arrondissement,CENTRE SOCIAL DANUBE SOCIAL ET CULTUREL 49 bis rue du Général Brunet 75019 Paris 19e Arrondissement,assodanube@wanadoo.fr,http://assodanube19.org,44992042000022,0140185471
Centre social,CENTRE SOCIOCULTUREL DES LOUVRAIS association AQUAREL,95300,Pontoise,CENTRE SOCIOCULTUREL DES LOUVRAIS association AQUAREL 2 place de la Fraternité 95300 Pontoise,louvrais.aquarel@aquarel.asso.fr,http://www.aquarel.asso.fr,40793600042,0130311243
Centre social,CENTRE SOCIAL ANNAM,75020,Paris 20e Arrondissement,CENTRE SOCIAL ANNAM 4 rue d'Annam 75020 Paris 20e Arrondissement,alexis.nguyen@caf75.caf.fr,http://Caf.fr,38099225500048,
Centre social,JACQUES PREVERT - Conseil de Gestion (CSC),93220,Gagny,"JACQUES PREVERT - Conseil de Gestion (CSC) 63, rue du 18 juin 93220 Gagny",csjp.direction@gmail.com,http://Non,30941102300018,
Centre social,CENTRE SOCIAL DES VIGNES BLANCHES,95200,Sarcelles,CENTRE SOCIAL DES VIGNES BLANCHES avenue Anna de Noailles 95200 Sarcelles,mqvb_sarcelles@yahoo.fr,0139901034,,
Centre social,CENTRE SOCIAL DU PONT DU ROUTOIR,78280,Guyancourt,CENTRE SOCIAL DU PONT DU ROUTOIR 16 rue Neil Armstrong 78280 Guyancourt,espace.montand@ville-guyancourt.fr,http://www.ville-guyancourt.fr/,21780297400014,0130483333
Centre social,MAISON POUR TOUS DES AMONTS,91940,Les Ulis,MAISON POUR TOUS DES AMONTS 1 rue de Vendée 91940 Les Ulis,mpt_des_amonts@lesulis.fr,http://lesulis.fr,NC,0169293400
Centre social,CENTRE SOCIAL LOUIS JOUVET,78180,Montigny-le-Bretonneux,CENTRE SOCIAL LOUIS JOUVET 4 Place Jacques Coeur 78180 Montigny-le-Bretonneux,l.gestas@montigny78.fr,https://www.montigny78.fr/,21780423600016,0139303132
Centre social,CENTRE DE VIE SOCIAL LE PATIO,78711,Mantes-la-Ville,CENTRE DE VIE SOCIAL LE PATIO 3 rue Georges Brassens 78711 Mantes-la-Ville,hdiop@manteslaville.fr,http://www.manteslaville.fr,217.803.626.000.19,0130985549
Centre social,CSC LIBERTE - OMC Maisons-Alfort,94700,Maisons-Alfort,CSC LIBERTE - OMC Maisons-Alfort 59 avenue de la liberté/ 5 rue de Berne 94700 Maisons-Alfort,cscliberte@orange.fr,http://0141790830,31459209800029,
Centre social,CENTRE SOCIAL ET CULTUREL  UNI'VERS,77340,Pontault-Combault,CENTRE SOCIAL ET CULTUREL  UNI'VERS 4 rue de l'orme au charron 77340 Pontault-Combault,cscpontault@gmail.com,http://www.cscpontault.centres-sociaux.fr,31170235100017,
Centre social,ALBATROS - ACSA (CS),93600,Aulnay-sous-Bois,ALBATROS - ACSA (CS) 23 allée de la bourdonnais 93600 Aulnay-sous-Bois,Albatros@asso-acsa.fr,http://www.centressociaux-aulnay.fr,34768441700020,
Centre social,CENTRE SOCIO - CULTUREL FRANCOIS RUDE,95120,Ermont,CENTRE SOCIO - CULTUREL FRANCOIS RUDE Allée Jean de Florette 95120 Ermont,csc.rude@ville-ermont.fr,http://www.ville-ermont.fr,21950219200012,0970809347
Centre social,LOUNES MATOUB (MQ),93100,Montreuil,LOUNES MATOUB (MQ) maison de quartier du bas Montreuil 4-6 place de la République 93100 Montreuil,sophie.legouxcallaf@montreuil.fr,https://www.montreuil.fr/solidarites/les-centres-sociaux/centre-social-lounes-matoub,21930048000015,0148706000
Centre social,SOHANE -  LA SABLIERE (MQ et Citoyenneté),93140,Bondy,SOHANE -  LA SABLIERE (MQ et Citoyenneté) 162 route de villemomble 93140 Bondy,kamel.saadi@bondy.fr,http://www.bondy.fr,0,0148505300
Centre social,EDMOND MICHELET (MQ),93270,Sevran,EDMOND MICHELET (MQ) 44 AVENUE SALVADOR ALLENDE 93270 Sevran,mdq-michelet@ville-sevran.fr,http://www.ville-sevran.fr/,21930071200524,0149365200
Centre social,CENTRE SOCIAL JEAN BOSCO,95100,Argenteuil,CENTRE SOCIAL JEAN BOSCO 10 rue Jean Charcot / 84 Ter rue de Calais 95100 Argenteuil,Centresocialjeanbosco@fraternitestjean.fr,http://Centre Social Jean Bosco (Facebook),33881677000022,
Centre social,ACCUEIL GOUTTE D'OR,75018,Paris 18e Arrondissement,ACCUEIL GOUTTE D'OR 26 rue Laghouat 75018 Paris 18e Arrondissement,ago@ago.asso.fr,http://www.accueilgouttedor.fr,40864600800057,
Centre social,ESPERANTO (MQ),93100,Montreuil,ESPERANTO (MQ) 14 allée Roland Martin 93100 Montreuil,lea.noverraz@montreuil.fr,http://www.montreuil.fr/solidarites/les-centres-sociaux/centre-social-esperanto/,21930048000015,0148706000
Centre social,CENTRE SOCIAL AGORA,95470,Fosses,"CENTRE SOCIAL AGORA 1, rue Fernand Picquette 95470 Fosses",accueilagora@mairiefosses.fr,http://www.ville-fosses95.fr,21950250700128,
Centre social,CENTRE SOCIAL SAINT EXUPERY,77130,Varennes-sur-Seine,CENTRE SOCIAL SAINT EXUPERY 33 rue de la sauvagerie 77130 Varennes-sur-Seine,centre.socioculturel@varennes-sur-seine.fr,,26770217300019,
Centre social,CENTRE SOCIAL MUNICIPAL LES NOELS,95230,Soisy-sous-Montmorency,CENTRE SOCIAL MUNICIPAL LES NOELS 9 AVENUE DE NORMANDIE 95230 Soisy-sous-Montmorency,olivier.ghesquiere@soisy-sous-montmorency.fr,http://www.soisy-sous-montmorency.fr,21950598900018,0134052000
Centre social,CENTRE SOCIAL ET CULTUREL PETIT COLOMBES,92700,Colombes,CENTRE SOCIAL ET CULTUREL PETIT COLOMBES 231 rue Jules Ferry 92700 Colombes 92700 Colombes,csc-petitcolombes@orange.fr,http://www.csc-petitcolombes.com/,78534665100025,
Centre social,Centre social Marie Curie,91350,Grigny,"Centre social Marie Curie 1, rue de la Plaine 91350 Grigny",konmin.vang@grigny91.fr,,21910286000018,
Centre social,CENTRE SOCIAL MICHEL LUXEREAU,78190,Trappes,CENTRE SOCIAL MICHEL LUXEREAU 19 bis rue Jean Zay 78190 Trappes,abdellatif.hammoudi@mairie-trappes.fr,,21780621500547,
Centre social,CENTRE SOCIAL ET CULTUREL  LES AIRELLES,77680,Roissy-en-Brie,"CENTRE SOCIAL ET CULTUREL ""LES AIRELLES"" 20 boulevard de la Malibran 77680 Roissy-en-Brie",airelles@roissyenbrie77.fr,https://www.roissyenbrie77.fr/ma-famille/solidarites/centre-social-culturel-airelles/,21770390900010,0164431300
Centre social,CCAS - CENTRE SOCIAL SAINT-EXUPERY,91230,Montgeron,CCAS - CENTRE SOCIAL SAINT-EXUPERY 2 rue du docteur besson 91230 Montgeron,j.douis@montgeron.fr,,269 100 814 00012,
Centre social,CENTRE SOCIAL BREL BRASSENS,91080,Évry-Courcouronnes,CENTRE SOCIAL BREL BRASSENS 24 allée de l'orme à martin 91080 Évry-Courcouronnes,brelbrassens@evrycourcouronnes.fr,http://www.evrycourcouronnes.fr,20008352500010,0169366666
Centre social,Maison des Habitants LOUIS ARAGON (EX. SAINT-BLIN),95500,Gonesse,"Maison des Habitants LOUIS ARAGON (EX. SAINT-BLIN) 20 bis, avenue F. Mitterand 95500 Gonesse",amonier@mairie-gonesse.fr,http://134079032,/,
Centre social,MAISON POUR TOUS DU VAL D'ARGENT,95100,Argenteuil,MAISON POUR TOUS DU VAL D'ARGENT 8 place de la Commune de Paris 95100 Argenteuil,maisonpourtousarg@wanadoo.fr,,35307893400026,
Centre social,CENTRE SOCIAL MAISON DE QUARTIER DES AUNETTES,91000,Évry-Courcouronnes,CENTRE SOCIAL MAISON DE QUARTIER DES AUNETTES allée de la Solidarité 91000 Évry-Courcouronnes,accueil.aunettes@evrycourcouronnes.fr,,20008352500010,
Centre social,La SOURCE-LES PRESLES (CS),93800,Épinay-sur-Seine,La SOURCE-LES PRESLES (CS) 64 avenue de la Marne 93800 Épinay-sur-Seine,kamel.akkouche@epinay-sur-seine.fr,http://0149719935,0,
Centre social,CENTRE SOCIAL ANDRE MALRAUX,78180,Montigny-le-Bretonneux,CENTRE SOCIAL ANDRE MALRAUX 4 rue des Blés d'Or 78180 Montigny-le-Bretonneux,mq_malraux@montigny78.fr,https://www.montigny78.fr/general/maison-de-quartier-andre-malraux/,21780423600016,0139303132
Centre social,MAISON DE QUARTIER DU CENTRE VILLE,95100,Argenteuil,MAISON DE QUARTIER DU CENTRE VILLE 5 rue des Gobelins 95100 Argenteuil,centre.ville@ville-argenteuil.fr,,21950018800012,
Centre social,CENTRE SOCIAL FRAT - La Petite Maison,95390,Saint-Prix,"CENTRE SOCIAL FRAT - La Petite Maison 108 / 110,  rue d'Ermont 95390 Saint-Prix",fraternite.st.jean@wanadoo.fr,http://www.fraternitestjean.fr/,33881677000022,0134164907
Centre social,COURTILLIERES (CS),93500,Pantin,COURTILLIERES (CS) 1 avenue Aimé Césaire 93500 Pantin,s.hosny@vlle-pantin.fr,http://www.ville-pantin.fr,21930055500014,
Centre social,CENTRE SOCIO-CULTUREL LES PYRAMIDES,77150,Lésigny,CENTRE SOCIO-CULTUREL LES PYRAMIDES 6-8 rue du Bois Notre Dame 77150 Lésigny,directiongenerale@lesigny.fr,http://www.mairie-lesigny.fr/,26770091200012,0160345160
Centre social,ESPACE LARRIS-MARADAS,95300,Pontoise,ESPACE LARRIS-MARADAS Adresse administrative 2 rue Victor Hugo  Adresse structure Parc des Larris 95300 Pontoise,elm@ville-pontoise.fr,http://www.ville-pontoise.fr,21950500500013,0134433443
Centre social,CENTRE SOCIAL LA SOUCOUPE,78100,Saint-Germain-en-Laye,CENTRE SOCIAL LA SOUCOUPE 16-18 boulevard Berlioz 78100 Saint-Germain-en-Laye,contact@lasoucoupe.fr,www.lasoucoupe.fr,309 044 345 00036,
Centre social,Maison de quartier Esther Senot,93400,Saint-Ouen-sur-Seine,Maison de quartier Esther Senot 6 rue pasteur 93400 Saint-Ouen-sur-Seine,mdqpasteur@mairie-saint-ouen.fr,https://www.saint-ouen.fr/services-infos-pratiques/sante-et-action-sociale/136-maisons-de-quartier.html,21930070400018,
Centre social,MAISON DES FAMILLES,77130,Montereau-Fault-Yonne,MAISON DES FAMILLES 6 rue Jules Ferry 77130 Montereau-Fault-Yonne,contact-mdf@ville-montereau77.fr,http://www.ville-montereau77.fr,217 703 057 000 18,
Centre social,MAISON DE MENUCOURT,95180,Menucourt,MAISON DE MENUCOURT 1 place de la Marèche 95180 Menucourt,clenoir@menucourt.fr,http://www.menucourt.fr,21950388500010,0134467100
Centre social,Maison des Familles FLORA TRISTAN,78370,Plaisir,Maison des Familles FLORA TRISTAN 1 rue des Francs Sablons 78370 Plaisir,zoukaghe-cl@ville-plaisir.fr,http://www.ville-plaisir.fr/,26780141300019,0130796200
Centre social,Ginette kolinka,93400,Saint-Ouen-sur-Seine,Ginette kolinka 37 rue du landy 93400 Saint-Ouen-sur-Seine,mdqlandy@mairie-saint-ouen.fr,http://www.ville-saint-ouen.fr,219 300 704 00018,
Centre social,CENTRE SOCIAL DE L'AGORA,95490,Vauréal,CENTRE SOCIAL DE L'AGORA 36 mail Mendès-France 95490 Vauréal,stardy@mairie-vaureal.fr,http://0134245354,21950637500316,
Centre social,PARIS CAMPAGNE DRANCY (CS),93700,Drancy,PARIS CAMPAGNE DRANCY (CS) 8 rue Pierre Sémard 93700 Drancy,centre.social@drancy.fr,http://www.drancy.net,21930029000018,
Centre social,MAISON DE LA SOLIDARITE  CRETEIL,94000,Créteil,MAISON DE LA SOLIDARITE  CRETEIL 1 rue Albert Doyen 94000 Créteil,maison.de.la.solidarite@wanadoo.fr,http://www.mds.asso.fr,37805849900013,
Centre social,Centre social et culturel ESPACE 19 RIQUET,75019,Paris 19e Arrondissement,"Centre social et culturel ESPACE 19 RIQUET 53, rue Riquet 75019 Paris 19e Arrondissement",riquet@espace19.org,www.espace19.org,32228389600049,0140361578
Centre social,CENTRE SOCIAL ET CULTUREL-GEORGES BRASSENS,77420,Champs-sur-Marne,"CENTRE SOCIAL ET CULTUREL-GEORGES BRASSENS 4 patio des catalpas, Place du bois de grâce 77420 Champs-sur-Marne",direction.cscbrassens@gmail.com,http://cscgeorgesbrassens77.centres-sociaux.fr,33241700500011,
Centre social,FÉLIX MERLIN (CS),93800,Épinay-sur-Seine,FÉLIX MERLIN (CS) 67 rue Félix Merlin 93800 Épinay-sur-Seine,kamel.nassiri@epinay-sur-seine.fr,http://0171291328,21930031600011,
Centre social,CENTRE SOCIAL LA CLAIRIERE,75002,Paris 2e Arrondissement,CENTRE SOCIAL LA CLAIRIERE 60 rue greneta 75002 Paris 2e Arrondissement,douglas.courtois@casp.asso.fr,https://casp.asso.fr/structure/la-clairiere/,318 732 16 00076,0172631001
Centre social,MAISON DE QUARTIER LES X ARPENTS,95610,Éragny,MAISON DE QUARTIER LES X ARPENTS les dix arpents bruns 95610 Éragny,ccafe@eragny.fr,http://www.eragny.fr,21950218400019,0134483500
Centre social,MAISON DE QUARTIER JACQUES PREVERT,92240,Malakoff,"MAISON DE QUARTIER JACQUES PREVERT 3, rue Hébécourt 92240 Malakoff",prevertaccueil@ville-malakoff.fr,https://www.malakoff.fr/,21920046600015,0147467500
Centre social,ASPHALTE,94190,Villeneuve-Saint-Georges,ASPHALTE 19 avenue de Valenton 94190 Villeneuve-Saint-Georges,asphalte2304@gmail.com,http://asphalte94vsg.centres-sociaux.fr,41943779300039,
Centre social,CENTRE SOCIAL DE PIERRELAYE,95480,Pierrelaye,CENTRE SOCIAL DE PIERRELAYE 15 clos Saint Pierre 95480 Pierrelaye,direction-sociale@ville-pierrelaye.fr,,21950488300014,
Centre social,CENTRE SOCIAL LA BERTHIE,95063,Bezons,CENTRE SOCIAL LA BERTHIE 27 rue de la Berthie 95063 Bezons,k.baigourina@mairie-bezons.fr,http://www.Bezons.fr,21950063400395,0562001779
Centre social,CENTRE SOCIOCULTUREL LES CHENES,95120,Ermont,CENTRE SOCIOCULTUREL LES CHENES 9 rue utrillo 95120 Ermont,csc.chenes@ville-ermont.fr,http://WWW.ville-ermont.fr,21950219200012,0970809347
Centre social,ESPACE MUNICIPAL CHARLES  CROS,77100,Meaux,ESPACE MUNICIPAL CHARLES  CROS square cassini 77100 Meaux,espace.charles-cros@meaux.fr,http://www.ville-meaux.fr,21710284400010,
Centre social,CENTRE SOCIAL DU PLEIN MIDI,95140,Garges-lès-Gonesse,CENTRE SOCIAL DU PLEIN MIDI 1 avenue du plein Midi 95140 Garges-lès-Gonesse,kouidin@villedegarges.com,,219502689,
Centre social,LOUISE MICHEL/MIKADO (CS),93290,Tremblay-en-France,LOUISE MICHEL/MIKADO (CS) 4 COURS DE LA REPUBLIQUE 93290 Tremblay-en-France,f.yahiaoui@tremblayenfrance.fr,https://www.tremblay-en-france.fr/,219 300 738 00271,0149637135
Centre social,CENTRE SOCIAL ET CULTUREL JACQUES-PREVERT,92220,Bagneux,CENTRE SOCIAL ET CULTUREL JACQUES-PREVERT 12  place Claude Debussy 92220 Bagneux,accueil.prevert@mairie-bagneux.fr,http://bagneux92.fr,219 200 078 00216,0142316000
Centre social,Association de Gestion et d'Animation Social Educative et Culturelle - AGASEC Centre Social,78100,Saint-Germain-en-Laye,Association de Gestion et d'Animation Social Educative et Culturelle - AGASEC Centre Social 2 bis rue Saint Léger 78100 Saint-Germain-en-Laye,direction@agasec.fr,http://www.agasec.fr,33234898600024,0139733884
Centre social,ESPACE MICHEL COLUCCI,92120,Montrouge,ESPACE MICHEL COLUCCI 88 rue Racine 92120 Montrouge,p.ondoua@ville-montrouge.fr,http://www.espacecolucci.net,219 200 490 00015,0146557777
Centre social,Maison des Familles La Mosaïque,78370,Plaisir,Maison des Familles La Mosaïque 98 avenue François Mitterand 78370 Plaisir,mdf@ville-plaisir.fr,http://www.ville-plaisir.fr,26780141300019,0130796200
Centre social,CENTRE SOCIAL ALFRED DE VIGNY,78960,Voisins-le-Bretonneux,CENTRE SOCIAL ALFRED DE VIGNY 24 avenue du lycée 78960 Voisins-le-Bretonneux,directrice@centrealfred.fr,http://www.chezalfred.info,32043155400023,0130436585
Centre social,CENTRE SOCIAL YVES AGOSTINI,77350,Le Mée-sur-Seine,CENTRE SOCIAL YVES AGOSTINI 60 avenue de la gare 77350 Le Mée-sur-Seine,mohammed.mansour@lemeesurseine.fr,,21770285100239,
Centre social,FLORÉAL (MQ),93200,Saint-Denis,FLORÉAL (MQ) 3 promenade de la basilique 93200 Saint-Denis,maisonquartier.floreal@ville-saint-denis.fr,http://www.ville-saint-denis.fr,92993941100013,0149336666
Centre social,BERTY ALBRECHT (MPT),93300,Aubervilliers,BERTY ALBRECHT (MPT) 44/46 rue Danielle Casanova 93300 Aubervilliers,sisse.kouider@mairie-aubervilliers.fr,https://www.aubervilliers.fr/Maison-pour-Tous-Berty-Albrecht,2193001900011,0148395200
Centre social,CARREFOUR 14 - CENTRE SOCIAL ET CULTUREL DIDOT,75014,Paris 14e Arrondissement,CARREFOUR 14 - CENTRE SOCIAL ET CULTUREL DIDOT 15 rue des Mariniers 75014 Paris 14e Arrondissement,centresocial.didot@wanadoo.fr,https://www.centresocialdidot.org/,43367170800041,0145414668
Centre social,MAISON DE QUARTIER CHANTIERS,78000,Versailles,MAISON DE QUARTIER CHANTIERS 53 rue des Chantiers 78000 Versailles,rachid.goudjil@versailles.fr,,21780646200016,
Centre social,CENTRE SOCIAL ECLATE ANDRE MALRAUX,78300,Poissy,CENTRE SOCIAL ECLATE ANDRE MALRAUX 25 avenue du Maréchal Lyautey 78300 Poissy,rlaurans@ville-poissy.fr,http://www.ville-poissy.fr,000000000000,
Centre social,CERCLE BOISSIERE (CSC),93110,Rosny-sous-Bois,CERCLE BOISSIERE (CSC) 317 boulevard de la Boissière 93110 Rosny-sous-Bois,cercle.boissiere@rosnysousbois.fr,http://www.rosny93.fr,219300647 00019,0149353700
Centre social,CENTRE SOCIOCULTUREL - ESPACES JACQUES MIQUEL ET ROSA PARK,78320,La Verrière,CENTRE SOCIOCULTUREL - ESPACES JACQUES MIQUEL ET ROSA PARK Rue Emile Dureuil et Rue Joseph Rollo 78320 La Verrière,m.papin@mairie-laverriere.fr,http://www.ville-laverriere.com,21780644700017,
Centre social,MAISON DE QUARTIER CHENNEVIERES,95310,Saint-Ouen-l'Aumône,MAISON DE QUARTIER CHENNEVIERES 2 place Louise Michel 95310 Saint-Ouen-l'Aumône,fernanda.defreitas@ville-soa.fr,http://0182311050,21950572400209,
Centre social,Centre Socioculturel Municipal,94350,Villiers-sur-Marne,Centre Socioculturel Municipal 2 boulevard de Friedberg 94350 Villiers-sur-Marne,sousen.romdhani@mairie-villiers94.com,,219 400 79 30010,
Centre social,DANIEL BALAVOINE (MQ et Citoyenneté),93140,Bondy,"DANIEL BALAVOINE (MQ et Citoyenneté) 18, avenue Léon Blum 93140 Bondy",kaliane.seck@bondy.fr,http://www.bondy.fr,219 300 100 00019,0148505300
Centre social,CENTRE SOCIAL ET CULTUREL DULCIE SEPTEMBER,95140,Garges-lès-Gonesse,CENTRE SOCIAL ET CULTUREL DULCIE SEPTEMBER Place Nelson Mandela 95140 Garges-lès-Gonesse,belkorchias@villedegarges.com,http://www.villedegarges.fr,21950268900017,0134533200
Centre social,MAISON DE QUARTIER ORGEMONT/VOLEMBERT,95100,Argenteuil,MAISON DE QUARTIER ORGEMONT/VOLEMBERT 239 route d'Enghein 95100 Argenteuil,orgemont.volembert@ville-argenteuil.fr,http://www.argenteuil.fr/100-maison-de-quartier-d-orgemont-volembert.htm,21950018800012,0134234100
Centre social,HAUT ET PETIT PANTIN (CS),93500,Pantin,HAUT ET PETIT PANTIN (CS) 210 avenue Jean Lolive 93500 Pantin,m.camara@ville-pantin.fr,,219 300 555 00014,
Centre social,Espace Famille Centre social Lamartine,92290,Châtenay-Malabry,Espace Famille Centre social Lamartine 1 ter rue Lamartine 92290 Châtenay-Malabry,espacefamille.lamartine@outlook.fr,,33831601100018,
Centre social,CENTRE SOCIOCULTUREL BORIS VIAN,95400,Villiers-le-Bel,CENTRE SOCIOCULTUREL BORIS VIAN 4 rue scribe 95400 Villiers-le-Bel,csc-vian@ville-villiers-le-bel.fr,http://0134078174,21950680500015,
Centre social,CENTRE SOCIAL LA LUCARNE,95380,Louvres,CENTRE SOCIAL LA LUCARNE 161 rue de Paris 95380 Louvres,la-lucarne.mjc@wanadoo.fr,http://www.mjclalucarne.fr,31531062300022,0134688925
Centre social,CENTRE SOCIO CULTUREL DU PAVÉ BLANC,92140,Clamart,CENTRE SOCIO CULTUREL DU PAVÉ BLANC 44 route du pavé blanc 92140 Clamart,cscpaveblanc@clamart.fr,http://www.clamart.fr,219 200 235 00014,0146623535
Centre social,CENTRE SOCIAL ROBERT DOISNEAU,95870,Bezons,CENTRE SOCIAL ROBERT DOISNEAU 24 rue mozart 95870 Bezons,cs-doisneau@mairie-bezons.fr,https://www.ville-bezons.fr,219 500 634 00395,0179876200
Centre social,CENTRE SOCIAL HENRI MATISSE,78180,Montigny-le-Bretonneux,CENTRE SOCIAL HENRI MATISSE 10 rue des mouettes 78180 Montigny-le-Bretonneux,b.gimenez@montigny78.fr,http://www.montigny78.fr,217 804 236 00016,0139303132
Centre social,CENTRE SOCIAL PABLO PICASSO,91350,Grigny,CENTRE SOCIAL PABLO PICASSO 21 bis avenue des sablons 91350 Grigny,damien.de-feraudy@grigny91.fr,http://www.grigny91.fr,219 102 860 000 18,
Centre social,MAISON DE QUARTIER  MARCOUVILLE,95300,Pontoise,MAISON DE QUARTIER  MARCOUVILLE 30 bis Hauts de Marcouville 95300 Pontoise,marcouville.aquarel@aquarel.asso.fr,https://www.aquarel.asso.fr,40793677200042,0130311243
Centre social,CENTRE SOCIAL et CULTUREL de la Maison de la Plaine,95320,Saint-Leu-la-Forêt,CENTRE SOCIAL et CULTUREL de la Maison de la Plaine 10 place culcheth 95320 Saint-Leu-la-Forêt,maisondelaplaine@orange.fr,http://0139951233,44501490500019,
Centre social,AMBROISE CROIZAT (CSC),93200,Saint-Denis,AMBROISE CROIZAT (CSC) 58 rue Nungesser et Coli 93200 Saint-Denis,csacroizat@pierrefitte93.fr,http://www.mairie-pierrefitte93.fr,21930059700016,
Centre social,CENTRE SOCIO-EDUCATIF ALBERT SCHWEITZER,77190,Dammarie-les-Lys,CENTRE SOCIO-EDUCATIF ALBERT SCHWEITZER Espace A.Schweitzer place du 8 mai 1945 77190 Dammarie-les-Lys,r.lopes@mairie-dammarie-les-lys.fr,0164874940,21770152300011,
Centre social,LA PLAINE (MQ),93200,Saint-Denis,LA PLAINE (MQ) 5 RUE SAINT-JUST 93200 Saint-Denis,Irvin.VIOLETTE-MEHU@saintdenis.fr,http://Ville de Saint-Denis,92993941100013,
Centre social,CRESCENDO - CENTRE SOCIAL MAISON DU BAS BELLEVILLE,75020,Paris 20e Arrondissement,CRESCENDO - CENTRE SOCIAL MAISON DU BAS BELLEVILLE 5 boulevard de Tourtille 75020 Paris 20e Arrondissement,maison.bas-belleville@groupe-sos.org,http://maisondubasbelleville.fr,784810111000616,
Centre social,Maison de quartier Assia Djebar,93500,Pantin,Maison de quartier Assia Djebar 42 avenue Edouard Vaillant 93500 Pantin,mdqassiadjebar@ville-pantin.fr,http://www.ville-pantin.fr,21930055500014,
Centre social,CENTRE SOCIOCULTUREL MANDELA-LA FONTAINE,91220,Brétigny-sur-Orge,CENTRE SOCIOCULTUREL MANDELA-LA FONTAINE 4 avenue Maryse Bastié 91220 Brétigny-sur-Orge,f.benjebria@mairie-bretigny91.fr,,219 101 037 00014,
Centre social,ORANGE BLEUE (CS),93390,Clichy-sous-Bois,ORANGE BLEUE (CS) 22 allée Frédéric LADRETTE 93390 Clichy-sous-Bois,ouarda.benarab@clichysousbois.fr,http://0145097730,48048335300045,
Centre social,CENTRE SOCIAL Michelet  'Maison du Noyer Renard,91200,Athis-Mons,"CENTRE SOCIAL Michelet  'Maison du Noyer Renard"" 1 rue Pierre Bérégovoy 91200 Athis-Mons",centresocialduval@mairie-athis-mons.fr,http://www.mairie-athis-mons.fr,269100152000017,
Centre social,Les COUTURES (CS),93170,Bagnolet,Les COUTURES (CS) 37 rue Jules Ferry 93170 Bagnolet,lescoutures@ville-bagnolet.fr,http://0141585540,21930006800018,
Centre social,CENTRE SOCIAL APMV,91300,Massy,"CENTRE SOCIAL APMV 16, allée Albert Thomas 91300 Massy",accueil.apmvmassy@gmail.com,http://www.apmvmassy.centres-sociaux.fr,44529123000032,
Centre social,CENTRE SOCIAL INGRID BETANCOURT,95500,Gonesse,CENTRE SOCIAL INGRID BETANCOURT 51 avenue des jasmins 95500 Gonesse,ckoita@mairie-gonesse.fr,,219 502 770 00015,
Centre social,CENTRE SOCIAL ET CULTUREL DES BLAGIS,92330,Sceaux,CENTRE SOCIAL ET CULTUREL DES BLAGIS 2 rue du docteur Roux 92330 Sceaux,direction@cscbsceaux.com,https://www.cscbsceaux.com/,305 421 166 00011,0141870610
Centre social,MARCEL PAUL (MQ),93270,Sevran,MARCEL PAUL (MQ) 12 rue Charles Conrad 93270 Sevran,abaris@ville-sevran.fr,,21930071200524,
Centre social,JACQUES BREL (CS/Espace),93230,Romainville,JACQUES BREL (CS/Espace) rue de la poix verte 93230 Romainville,resp.brel@ville-romainville.fr,,21930063900016,
Centre social,CENTRE SOCIAL BELLEVILLE,75019,Paris 19e Arrondissement,"CENTRE SOCIAL BELLEVILLE 15bis/17, rue Jules Romains 75019 Paris 19e Arrondissement",csbelleville@gmail.com,www.centresocioculturelbelleville.fr,42210748200016,0140030882
Centre social,SOLIDARITE FORMATION MEDIATION  S.F.M. CLICHY,92110,Clichy,SOLIDARITE FORMATION MEDIATION  S.F.M. CLICHY 9 rue du Maréchal de Lattre de Tassigny 92110 Clichy,sfmclichy@gmail.com,www.sfm-clichy.fr,39964471500027,0147313708
